geometry,MSOA11CD,MSOA_name,HOC_MSOA_NM,,March,April,May,June,July,total_deaths,USUALRES,White,Mixed/multiple ethnic groups,Asian/Asian British,Black/African/Caribbean/Black British,Other ethnic group,BAME,White%,Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME%,deprived%,% of people aged over 60 who live in pension credit households,eng_hhold,eng_hhold%,none_eng_hhold,none_eng_hhold%
"MULTIPOLYGON (((-0.104141339148985 51.5084128644475,-0.104436490278573 51.5083991285089,-0.104729553967068 51.5084582607295,-0.104141339148985 51.5084128644475)),((-0.096785737664011 51.5232494893818,-0.096470532689215 51.5228212123682,-0.095096872815764 51.5230529332734,-0.094559427839499 51.5220470472503,-0.094338514182716 51.5214608670763,-0.092763161212142 51.5213873136097,-0.092527918524318 51.5214285858834,-0.092401268107472 51.5210178237104,-0.090585399470814 51.5208174007788,-0.089694614660543 51.5206874498683,-0.089945501094458 51.5199825356317,-0.08812915137784 51.5194107187599,-0.086187213711139 51.5187361255828,-0.085218396854221 51.520333858003,-0.083326469846488 51.5198146790252,-0.08159958114487 51.52095878083,-0.08145361619682 51.5212184816784,-0.081050380142974 51.5219529805189,-0.078471645476576 51.5215097579222,-0.079429751426686 51.5188445315843,-0.078112826304734 51.5189646471998,-0.077895493004805 51.5181878415313,-0.077370999488881 51.517396018942,-0.075918238136351 51.5158949223202,-0.075824017724022 51.5158289807654,-0.07396926315984 51.5144528877277,-0.073446966559575 51.5135477040262,-0.073191349251065 51.5125705881212,-0.072764854639409 51.5108048732957,-0.072727845073616 51.5101878591005,-0.073230939612573 51.5100023979386,-0.075531882824453 51.5097352288924,-0.076172550926145 51.5104769629648,-0.076911432080829 51.5104677143982,-0.076850880333622 51.5101538065454,-0.077901565278174 51.509993004404,-0.078844752042078 51.5094111528442,-0.079101814985388 51.5090383763504,-0.078669076810105 51.5087913028054,-0.079273215004572 51.5078306017885,-0.079411342395607 51.5078445722132,-0.079461989612648 51.5077926151283,-0.081530989069509 51.5083896745544,-0.086129609376755 51.5086563321118,-0.09006000914643 51.5089902091345,-0.092472825590327 51.5095007236884,-0.095322669967546 51.5101342095147,-0.095240059683194 51.5105600146326,-0.096149529969705 51.5102114820002,-0.099024832396899 51.5107203298375,-0.10464807394231 51.5107861591128,-0.11157397562052 51.510754924842,-0.111503509989113 51.5116535301228,-0.112511069739076 51.5126426341856,-0.111722163875934 51.5131618894015,-0.111926840737616 51.5136579576128,-0.111056273453546 51.5138268573831,-0.111553166590365 51.515222830211,-0.113841423583257 51.5181170189453,-0.11107547612836 51.5181337734484,-0.110672224596248 51.5180944468403,-0.109406630763058 51.5179048862681,-0.107454055858434 51.5178286859489,-0.105831761703066 51.5183756557753,-0.105345853145537 51.5185425507556,-0.104281574966328 51.5188527277091,-0.101820488906338 51.5196113097744,-0.098524308912769 51.5205381078338,-0.097645939062636 51.520688536528,-0.097288673843387 51.5215770412707,-0.097492048917913 51.5221716449551,-0.097719861337993 51.5229181328978,-0.096785737664011 51.5232494893818)))",E02000001,City of London 001,City of London,,1,2,1,0,0,4,7375,5799,289,940,193,154,1576,78.6,3.9,12.7,2.6,2.1,21.4,5.2,9.9,3825,87.2,560,12.8
"MULTIPOLYGON (((0.148085125464414 51.596782432281,0.148060681239142 51.5963984485442,0.149816001014073 51.5970042425074,0.151028344210652 51.5955486446351,0.150897585445896 51.5943849323933,0.150604475749455 51.591975055812,0.151147319767387 51.5897974272515,0.151083346074236 51.5870785397127,0.141570869199794 51.5863567900856,0.141775213747385 51.5853109257481,0.141421207148583 51.5826753047528,0.141308177782829 51.5814993155698,0.14111864400004 51.5805380035454,0.140971885480643 51.579903103414,0.139515451274081 51.5795908485885,0.139684624172328 51.5789492325714,0.140253232721619 51.5789711553568,0.140178833824563 51.5783243318342,0.137871630145004 51.5781225712618,0.136121157193498 51.577960774959,0.135699496127083 51.5797849970156,0.135201142096208 51.5797415040003,0.135136655127909 51.5785662628271,0.135328266038983 51.5781883804208,0.133909067338613 51.5781380933021,0.13161133355237 51.5771330024721,0.131270390967651 51.5778971681966,0.13070735460028 51.5790732952224,0.131235199948047 51.5794771147852,0.133435444709097 51.5799448163732,0.1329175366833 51.5809095950057,0.132564118994683 51.5813140199325,0.13194417379365 51.5813504111604,0.127639148940773 51.5816373799763,0.127650239179158 51.5817082395588,0.127951324996985 51.5825970992239,0.128037051677507 51.5832606658681,0.127680952690006 51.5839226043417,0.127277195389474 51.5839316153384,0.126669259638819 51.5860825471725,0.126398021051607 51.5867043823524,0.127960910711523 51.5869523527452,0.131013333711263 51.5875065685317,0.12952863379998 51.5900579719866,0.133173119080032 51.591773878487,0.134774587484428 51.592555244767,0.141899270942394 51.5965794926733,0.146562230842309 51.5994516391488,0.148136102022181 51.5990482478601,0.147568213703897 51.5968055259337,0.148085125464414 51.596782432281)))",E02000002,Barking and Dagenham 001,Marks Gate,,1,7,0,0,0,8,6775,4403,330,820,1133,89,2372,65.0,4.9,12.1,16.7,1.3,35.0,31.0,27.5,2459,90.6,254,9.4
"MULTIPOLYGON (((0.150626142106389 51.5830611352459,0.14838174142624 51.5807513411108,0.147448204497116 51.5807913344988,0.146983373589775 51.5756778886317,0.148110964576861 51.5756219805805,0.148034434181712 51.573411562082,0.147905733774369 51.5731247642655,0.148958894361797 51.5732322241446,0.149290102648994 51.5702725844912,0.149752322166376 51.5696967791729,0.148115472588223 51.5695458514521,0.14664314426239 51.5694146067182,0.146762159539291 51.5691185988095,0.146758824973499 51.5687687954266,0.147303873332492 51.5686721666997,0.148747713361122 51.5686208225493,0.149279569303945 51.5681589681444,0.14987806635558 51.568069945322,0.149236884744016 51.5673843195999,0.148376781671111 51.5673875994471,0.148529986519898 51.5669436255625,0.147741724288488 51.5664901632284,0.147076549640938 51.5663874461983,0.146870819856644 51.5666818849357,0.146005021590355 51.5665480127209,0.146167195793102 51.5659496785753,0.146613830163136 51.5647346029488,0.145378884585537 51.5646973988603,0.144785465213685 51.5655757022422,0.142392649167042 51.5661916858245,0.143380845008845 51.567518849488,0.139919583754556 51.5678016799115,0.138431704820872 51.5677441231519,0.136927132538774 51.5670557295589,0.13557799735299 51.5666487762944,0.131468201884438 51.5665600773421,0.129703914233627 51.5665344456902,0.129362339916571 51.566529485488,0.129735708945007 51.5679155981769,0.129676629622384 51.5681013909883,0.129733726299712 51.5689012772193,0.130052397709048 51.5693568030762,0.130464822323467 51.5704886621543,0.130025262765972 51.5707562729465,0.129849913939472 51.5715971858711,0.130787892749839 51.5717278164353,0.131559403631898 51.5718350881441,0.130908388938097 51.5734398911964,0.129940627812152 51.5730560713249,0.129418575938614 51.5739809738977,0.129375091131437 51.5749198874726,0.129377110560471 51.5754160441144,0.129234202221831 51.5762935876143,0.130033751043639 51.5765328332485,0.131611333558283 51.5771330024758,0.133909067337326 51.5781380933023,0.135328266036795 51.5781883804231,0.135136655137807 51.578566262823,0.135201142097207 51.5797415040092,0.135699496126509 51.5797849970094,0.136121157199616 51.5779607749639,0.137871630153515 51.5781225712632,0.140178833828724 51.5783243318326,0.140253232726733 51.5789711553494,0.139684624179885 51.5789492325713,0.139515451269181 51.5795908485976,0.140971885472337 51.5799031034079,0.141118643996375 51.5805380035433,0.141308177796662 51.5814993155717,0.141421207147744 51.5826753047578,0.141775213758687 51.5853109257466,0.141570869206841 51.586356790082,0.151083346062506 51.587078539708,0.151024501898867 51.5858921231648,0.150626142106389 51.5830611352459)))",E02000003,Barking and Dagenham 002,Chadwell Heath East,,1,7,2,0,0,10,10045,5486,433,2284,1618,224,4559,54.6,4.3,22.7,16.1,2.2,45.4,18.9,21.2,3431,89.5,403,10.5
"MULTIPOLYGON (((0.18507994563166 51.5647987491576,0.183998538321653 51.5639109229046,0.183421363104101 51.5627822098183,0.182705334725147 51.5612657878898,0.184547740054303 51.5602000691782,0.184719685078444 51.5593885268857,0.184402057426987 51.5576726252113,0.185018425367245 51.5568187770009,0.184741666713085 51.5564247296724,0.18567780455715 51.5563798546885,0.187367888594415 51.5553479343141,0.187883136570302 51.5540790465206,0.190179945962608 51.5526805126796,0.189574513746813 51.5514906104962,0.187481649286995 51.5502025876487,0.185995162151446 51.5475348389179,0.179213194750484 51.5463578181645,0.179204847927278 51.5481636584794,0.168905226134495 51.5478006673907,0.168018154368615 51.5473126929254,0.166785926231602 51.5485185318339,0.16556872793929 51.5498174343251,0.164886038068015 51.5495274713141,0.165489111951684 51.5505917215236,0.169709302081773 51.5506213672906,0.167964190997622 51.551928051998,0.166065436455925 51.5524574184546,0.165669116504682 51.5528329382769,0.164605207751085 51.552645577413,0.164075947726384 51.5525321583602,0.163681478120183 51.5527841026888,0.163904736004155 51.5530971438359,0.163264756117002 51.5532858541534,0.163622002065514 51.5535090326025,0.163124858323365 51.5538002517661,0.163413328041595 51.5540575048691,0.16423164154203 51.5538273743342,0.164267157370731 51.5549398426057,0.164672941535236 51.5552646137207,0.16657764633495 51.5551654680793,0.166564853800674 51.5562424969697,0.166984084526447 51.5562286206399,0.167317769406443 51.555281725189,0.167821042273071 51.5567134916701,0.168326823824676 51.5571627966964,0.168653213560068 51.5594329029353,0.168529761639345 51.5615441379235,0.168512695412278 51.5620187529971,0.168319899160863 51.5635306559367,0.169903444861126 51.5641242389599,0.170176884437452 51.5642242353989,0.173396827822273 51.5650980126807,0.176837325692186 51.5647956732753,0.179019839458722 51.5648994922196,0.183349832171277 51.5646571010755,0.185137196120552 51.5655217776537,0.18507994563166 51.5647987491576)))",E02000004,Barking and Dagenham 003,Eastbrookend,,6,6,1,1,0,14,6182,5006,186,313,649,28,1176,81.0,3.0,5.1,10.5,0.5,19.0,15.8,21.3,2214,95.5,104,4.5
"MULTIPOLYGON (((0.149878066346087 51.5680699453274,0.150755295607032 51.5677798841531,0.151470299321842 51.5679734202232,0.154386365346945 51.5660663230469,0.150428268350916 51.5656033272611,0.150245259164463 51.5639185535934,0.150099120491243 51.561950693674,0.149981323894409 51.5613816657044,0.147872067575993 51.5610836105355,0.147568761726535 51.5585223480528,0.146962290590482 51.5571805982551,0.147320516936259 51.5570624231764,0.147822718948772 51.5573463053127,0.148299600052713 51.5567333919092,0.14899958402516 51.5571187189732,0.150170733369446 51.5570338424168,0.150106931395714 51.5565959829051,0.150066362688471 51.5554682008706,0.14896215142348 51.5555562389959,0.148194192927701 51.5546450520971,0.147093307042867 51.5547929309137,0.146855119788251 51.5546718494069,0.1452855201627 51.5532798347577,0.144680585005745 51.5534362824138,0.143999705569118 51.5530312732743,0.143317502962956 51.5531087573338,0.143072522856875 51.5534798425644,0.14379259191017 51.5536593118161,0.143587049460564 51.5544156844554,0.143442724511053 51.5545406326362,0.145005661227234 51.5556168493067,0.145220781221188 51.555811198082,0.142623824557143 51.5557561308897,0.142376936312392 51.555750891618,0.140354702290453 51.5557163383548,0.14034307885125 51.5562289329508,0.139587119472377 51.5568320204386,0.13667020317109 51.5572314231822,0.135481270020612 51.5574983674964,0.136027979127994 51.5583379272363,0.13578806589076 51.5590249735619,0.134442177065423 51.5594346829419,0.134810153971422 51.5602204315785,0.134324988020945 51.5604826306416,0.134615130852581 51.5607898869934,0.136095524114429 51.5612406655831,0.136185114669098 51.5613316599972,0.136414372301961 51.5627795499938,0.136365725660516 51.5631521074945,0.136694640590158 51.5631691571441,0.137564941910836 51.5632112171974,0.136927132546273 51.5670557295576,0.138431704812063 51.5677441231611,0.139919583753158 51.5678016799145,0.143380845004964 51.5675188494899,0.142392649160407 51.566191685824,0.144785465216076 51.5655757022348,0.14537888457676 51.5646973988638,0.14661383016207 51.564734602941,0.146167195792758 51.5659496785712,0.146005021589357 51.5665480127254,0.146870819852442 51.5666818849388,0.147076549636671 51.5663874462009,0.147741724295357 51.5664901632312,0.148529986516185 51.5669436255588,0.148376781665843 51.5673875994457,0.149236884740459 51.5673843196049,0.149878066346087 51.5680699453274)))",E02000005,Barking and Dagenham 004,Becontree Heath,,4,2,1,0,0,7,8562,5674,313,1050,1445,80,2888,66.3,3.7,12.3,16.9,0.9,33.7,22.9,25.3,2868,90.1,315,9.9
"MULTIPOLYGON (((0.160017810652755 51.5627092690817,0.161852690860638 51.5615997782128,0.166259334397639 51.5632050787863,0.16831989916408 51.5635306559342,0.16851269541088 51.5620187530026,0.168529761644885 51.5615441379219,0.168653213559565 51.5594329029324,0.168326823832299 51.5571627967027,0.167821042264985 51.5567134916688,0.167317769411254 51.5552817251905,0.166984084518356 51.5562286206343,0.166564853792352 51.5562424969705,0.166577646335402 51.5551654680759,0.164672941537959 51.5552646137203,0.164267157364479 51.5549398426086,0.16423164155165 51.5538273743368,0.163413328049181 51.5540575048633,0.1631248583243 51.553800251762,0.163622002062302 51.5535090326048,0.163264756126996 51.5532858541549,0.163904735999678 51.5530971438382,0.163681478120202 51.5527841026867,0.161481663790103 51.552389888558,0.160595883449385 51.5527442465308,0.160649664822208 51.5519505022382,0.160826096652546 51.551547853993,0.156349248837166 51.5510190078669,0.152581172013609 51.5513372677822,0.151769602198894 51.5513132271204,0.149681269380655 51.5512785736103,0.14912232243137 51.5516432127414,0.147995125187489 51.551571483563,0.147707849309493 51.5520677149002,0.148005838315594 51.552593419317,0.14900080657218 51.5525153855728,0.149794965371156 51.5528173997168,0.14834313497395 51.5537951840269,0.148550532314612 51.5543872313054,0.148194192920818 51.5546450521003,0.148962151421072 51.5555562389947,0.150066362690124 51.5554682008737,0.150106931403385 51.5565959829051,0.150170733369699 51.5570338424174,0.148999584033971 51.5571187189702,0.148299600056631 51.5567333919064,0.147822718950211 51.5573463053115,0.147320516935247 51.5570624231761,0.146962290579605 51.5571805982523,0.147568761732539 51.5585223480535,0.147872067572471 51.5610836105358,0.14998132389216 51.5613816657052,0.150099120496588 51.5619506936766,0.150245259168823 51.563918553592,0.150428268349554 51.5656033272631,0.154386365346137 51.5660663230462,0.156195067824087 51.5650828264811,0.160017810652755 51.5627092690817)))",E02000007,Barking and Dagenham 006,Central Park & Frizlands Lane,,6,5,3,0,0,14,8791,5906,307,526,1997,55,2885,67.2,3.5,6.0,22.7,0.6,32.8,33.3,28.9,3117,90.6,324,9.4
"MULTIPOLYGON (((0.13602797912483 51.5583379272351,0.135481270027008 51.5574983674988,0.136670203174151 51.5572314231861,0.139587119466232 51.5568320204407,0.140343078850752 51.5562289329571,0.140354702292056 51.5557163383524,0.142376936309692 51.5557508916197,0.142623824555548 51.5557561308865,0.145220781221214 51.5558111980782,0.145005661229929 51.5556168493118,0.143442724504173 51.5545406326364,0.143587049467785 51.5544156844517,0.143792591906999 51.5536593118191,0.143072522857514 51.5534798425616,0.143317502959956 51.5531087573365,0.143999705568398 51.5530312732718,0.144680585004291 51.5534362824136,0.145285520165176 51.5532798347592,0.146855119789639 51.5546718494066,0.147093307045059 51.554792930914,0.148194192930567 51.5546450520977,0.148550532316257 51.5543872313035,0.148343134981271 51.5537951840297,0.149794965369169 51.5528173997108,0.149000806564256 51.5525153855772,0.14800583832538 51.552593419321,0.147707849316444 51.5520677149018,0.147995125193057 51.5515714835583,0.149122322427922 51.5516432127425,0.149681269379054 51.5512785736092,0.147413873421021 51.5511508209155,0.145102623730019 51.5510864882518,0.14277124834971 51.5509617672449,0.142887728430045 51.5494560602208,0.143106914444028 51.5486366151683,0.142356083459234 51.5490568857394,0.140424758841033 51.5491529505315,0.140167570894752 51.5489705206875,0.140877837496844 51.5486465261588,0.140507111370686 51.5480506025302,0.138731225854206 51.5480187313423,0.137663956010394 51.5478058828618,0.137179120921541 51.5480080082704,0.136754864780509 51.5473957461626,0.13573599904244 51.5473114049789,0.134089205409363 51.5485686859694,0.133443707516234 51.5476350504868,0.133450581341877 51.5454555835055,0.13087608173853 51.5450603015349,0.130107273159747 51.5471168703296,0.128899714064938 51.5469667415086,0.128541976002442 51.5471487725937,0.125844967831061 51.546861996443,0.125453888655237 51.547016843513,0.125716715202877 51.5472468738134,0.127841571115207 51.5491166019047,0.128654234629021 51.5498212004462,0.130293994978622 51.5512632122773,0.130382627640059 51.5513411799025,0.130280412358044 51.5517665604845,0.128814985201823 51.551661777877,0.127506977468602 51.551620587875,0.124375147966615 51.5513023898837,0.124303640363367 51.5514388193071,0.125142328920748 51.5532405214302,0.127026947428249 51.5554529693104,0.127142684352816 51.555606580795,0.12767980511011 51.556748644613,0.126963737704522 51.5578728037322,0.128455297616766 51.558069924047,0.128942469534588 51.5576701053443,0.128576928451573 51.5574297516014,0.127830295951056 51.5576173243101,0.127968200816448 51.5570802293193,0.129490732788406 51.5570186727552,0.129440865161353 51.558179961213,0.129952815698016 51.5581997592191,0.129921842973344 51.5587030628421,0.130156325309546 51.5584295617226,0.131089731843119 51.5584256134503,0.131125220106223 51.5588054353343,0.13119715310366 51.5588227166873,0.132833911776723 51.5589649047409,0.13256173154235 51.5595119555151,0.134324988017883 51.5604826306418,0.134810153981345 51.5602204315834,0.134442177074628 51.5594346829422,0.135788065896014 51.5590249735615,0.13602797912483 51.5583379272351)))",E02000008,Barking and Dagenham 007,Becontree East,,1,10,0,0,0,11,11569,8057,478,883,2010,141,3512,69.6,4.1,7.6,17.4,1.2,30.4,27.6,34.8,4156,90.5,435,9.5
"MULTIPOLYGON (((0.116957001627836 51.5566355779409,0.116207175210042 51.5558871042658,0.117220660514473 51.5558995103104,0.117511876508154 51.5552602912475,0.11928443698256 51.5564255445858,0.120412607687392 51.5558585514663,0.12097808848556 51.5556460459314,0.121005518233235 51.5552216937347,0.122100911274904 51.5557707760514,0.122694060004289 51.5554143719181,0.123273390737985 51.5556117020573,0.123529283396961 51.5552324314072,0.124683929388917 51.5548737295748,0.125154369562966 51.5546348854239,0.125184530181937 51.5540186754816,0.124049388127325 51.5536532456708,0.123902028868636 51.5529839912837,0.122990459467702 51.5533253195368,0.122190883159144 51.5528124233009,0.122348484004073 51.5522126406431,0.123135689063403 51.5525359581276,0.12267161676568 51.5522244380471,0.12329681778002 51.5518873873563,0.123062136850299 51.5516199539452,0.123917769639301 51.5515091693004,0.124084665359222 51.5517046001891,0.124303640368851 51.5514388193102,0.12437514796977 51.5513023898848,0.127506977463345 51.5516205878717,0.128814985202151 51.5516617778792,0.130280412355102 51.551766560478,0.130382627645009 51.5513411799013,0.13029399498049 51.5512632122764,0.128654234636735 51.5498212004448,0.127841571110997 51.5491166019067,0.125716715212022 51.5472468738098,0.124735108875925 51.5464853784647,0.124461482565444 51.5469994879075,0.123355786397199 51.5471525735149,0.123626874853479 51.5477965406581,0.12222514900564 51.5480244523643,0.121919894225564 51.5473928537165,0.119126176295669 51.5478766809973,0.115991361167583 51.5484200474975,0.115872458621573 51.5484403845628,0.113555619226473 51.5488914111735,0.110159795436991 51.5494241072637,0.106915131803612 51.5495472560926,0.10618152462812 51.5509571129008,0.106914790164786 51.5515370810505,0.107395174364885 51.5519172182999,0.108310516823032 51.5522230449959,0.108422203595253 51.5526808554648,0.111858331800998 51.5526090667024,0.113400260526844 51.5542950857023,0.114741076480875 51.5553037782374,0.112724804544584 51.5565196059407,0.11316295351385 51.5568889248504,0.113343958083132 51.5573186117428,0.1162061398578 51.5569969198763,0.116957001627836 51.5566355779409)))",E02000009,Barking and Dagenham 008,Becontree West,,2,5,0,0,0,7,8395,5136,366,1220,1581,92,3259,61.2,4.4,14.5,18.8,1.1,38.8,24.5,32.4,2791,86.9,421,13.1
"MULTIPOLYGON (((0.156454415228449 51.5487135264422,0.156699177763894 51.548347056377,0.157226171025311 51.5483072852578,0.157289879257589 51.5477484143651,0.158526073155706 51.547773308744,0.158765302134912 51.5464095859006,0.159706256826994 51.5453127116435,0.160372438288043 51.5444847580897,0.161499420250118 51.5438808650845,0.161512059735949 51.5433107199026,0.160646155788236 51.5431427062926,0.157914777939633 51.5426594048073,0.15719676173064 51.5425385284273,0.155252900234718 51.5422554557649,0.154538309820005 51.5421518564024,0.151686229408193 51.5418610327159,0.150679718799647 51.5417837806345,0.149835376467733 51.5417241414486,0.150291521025913 51.54291047758,0.151603253595907 51.5430305073928,0.151418018073019 51.5439844108121,0.151922101355772 51.5440603894252,0.151815899003656 51.5444984987624,0.152327092532362 51.5446516565675,0.152079102078971 51.5458125490679,0.152758711503135 51.5458825520243,0.152084571715957 51.5463395181804,0.151344357055075 51.5463182577789,0.150767406218934 51.5455243845813,0.151176140114326 51.5447870140628,0.150385423105458 51.54460290558,0.150123513613333 51.5445925806768,0.150141901329362 51.5441768291106,0.149563085001326 51.5440087859215,0.147923529888818 51.5442449887938,0.148613783399039 51.5447680948936,0.14808241805209 51.5451154440951,0.148497685576786 51.5455800608918,0.147926076832084 51.5459149988506,0.147828095795651 51.5459249763831,0.147053778563732 51.5458758061278,0.14644461273288 51.5464574226617,0.146009632447799 51.5461553538083,0.144590821807272 51.5463674797328,0.142949230847249 51.5466209965591,0.141902096550477 51.5454903452863,0.142295473089152 51.5453253648995,0.142064739084554 51.5450825010105,0.141549157442429 51.5445394774011,0.138575406294013 51.5456732897817,0.136745555372241 51.5442318154018,0.13188632386029 51.5437723781675,0.13122061511279 51.5443243487521,0.130876081744208 51.5450603015375,0.133450581338193 51.545455583501,0.13344370751262 51.5476350504798,0.134089205410902 51.548568685964,0.13573599903543 51.5473114049809,0.136754864783052 51.5473957461654,0.137179120915562 51.5480080082746,0.137663956012879 51.5478058828648,0.138731225853736 51.5480187313473,0.140507111359278 51.5480506025258,0.140877837502493 51.5486465261557,0.140167570894815 51.5489705206855,0.140424758852671 51.5491529505299,0.142356083462294 51.5490568857411,0.143106914436789 51.5486366151637,0.142887728425841 51.5494560602234,0.142771248344539 51.5509617672529,0.145102623734895 51.5510864882484,0.147413873426607 51.5511508209114,0.149681269377657 51.5512785736077,0.151769602206605 51.5513132271229,0.152581172005737 51.5513372677812,0.156349248837451 51.5510190078629,0.156454415228449 51.5487135264422)))",E02000010,Barking and Dagenham 009,Dagenham North,,3,4,0,0,0,7,8615,5962,280,638,1641,94,2653,69.2,3.3,7.4,19.0,1.1,30.8,28.5,33.2,2963,90.0,329,10.0
"MULTIPOLYGON (((0.165669116504824 51.5528329382781,0.166065436448153 51.5524574184632,0.167964191008093 51.551928052001,0.169709302084319 51.5506213672955,0.165489111950536 51.5505917215181,0.164886038061244 51.5495274713149,0.165568727947682 51.549817434332,0.166785926232624 51.5485185318374,0.16801815435683 51.5473126929217,0.168905226121491 51.5478006673902,0.179204847931633 51.5481636584833,0.179213194759553 51.546357818166,0.185995162151805 51.5475348389169,0.182322753935494 51.5456549950723,0.180453460604005 51.5441151605989,0.179643039976022 51.5426423258958,0.179502049600003 51.5409555636645,0.178881754464289 51.5401289884153,0.174496009251647 51.5381404608044,0.173414021273013 51.5386334671529,0.171679911337404 51.5389080248888,0.169982227673519 51.5390714416477,0.169460081319583 51.5388183199359,0.168302905160126 51.5383772502994,0.168384028949082 51.5387587384052,0.167643105918447 51.5390612656279,0.167892803319091 51.5395555655163,0.168755447876711 51.5397359598289,0.168980334650036 51.5409100184433,0.165428718824038 51.5414342826274,0.165426159363503 51.5413803727896,0.16534780820717 51.5406003046241,0.163247531268182 51.5406561798588,0.163229973948996 51.5409701471668,0.161578907054359 51.5410917901672,0.162300824582294 51.5414186927311,0.161472778478145 51.5419803682556,0.161229490659182 51.5421923339292,0.161316467939408 51.5422693197979,0.160646155780074 51.5431427062939,0.161512059729245 51.5433107198977,0.161499420260484 51.543880865091,0.160372438285202 51.5444847580924,0.159706256826681 51.5453127116383,0.15876530213587 51.5464095859075,0.158526073150895 51.5477733087491,0.157289879258062 51.5477484143732,0.157226171017609 51.5483072852518,0.156699177765502 51.5483470563763,0.156454415227722 51.5487135264434,0.156349248842087 51.551019007864,0.160826096661926 51.5515478539925,0.160649664817415 51.5519505022399,0.160595883449835 51.5527442465303,0.161481663792993 51.5523898885569,0.163681478121615 51.5527841026821,0.164075947717395 51.5525321583668,0.164605207752816 51.5526455774097,0.165669116504824 51.5528329382781)))",E02000011,Barking and Dagenham 010,Dagenham Eastbrook,,1,8,1,2,0,12,6187,4106,202,682,1146,51,2081,66.4,3.3,11.0,18.5,0.8,33.6,17.9,18.4,2060,90.0,229,10.0
